asset,entry_time,method,stop_pct,trades,gross_pnl,fees,net_pnl,avg_pnl,median_pnl,win_rate,avg_profitable_trade,avg_losing_trade,payoff_ratio,profit_factor,sharpe_daily_annualized,max_drawdown,max_drawdown_duration_days,max_drawdown_duration_trades,max_drawdown_date,recovery_date,recovered,max_consecutive_wins,max_consecutive_losses,best_trade,worst_trade,cvar_95
BTC,15:30,leg_both,100,191,896.34,692.98,203.36,1.0647,-1.62,0.4607,23.9817,-18.5148,1.2953,1.1066,0.6299,390.65,87,87,2026-06-28,,False,6,12,99.04,-258.66,-61.32
BTC,15:30,leg_both,150,191,1018.84,668.77,350.06,1.8328,2.1072,0.5236,26.1092,-24.8446,1.0509,1.1548,0.9742,353.71,86,86,2026-03-23,2026-04-14,True,6,7,99.04,-258.66,-75.73
BTC,15:30,leg_independent,50,191,1353.27,715.27,638.0,3.3403,3.3068,0.5707,17.4687,-15.4402,1.1314,1.5039,2.8455,150.96,56,56,2026-07-09,,False,8,6,99.04,-54.85,-44.1
BTC,15:30,leg_independent,100,191,1237.84,676.24,561.6,2.9403,0.936,0.5236,23.4723,-19.6223,1.1962,1.3145,1.7245,341.69,71,71,2026-03-23,2026-04-13,True,7,8,99.04,-258.66,-65.41
BTC,15:30,leg_independent,150,191,1069.18,663.62,405.55,2.1233,4.0947,0.5497,25.5752,-26.5099,0.9647,1.1779,1.1101,343.29,69,69,2026-03-23,2026-04-13,True,6,7,99.04,-258.66,-81.36
BTC,15:45,combined,50,191,558.35,632.22,-73.87,-0.3868,3.467,0.5497,22.6913,-28.5634,0.7944,0.9699,-0.2242,645.5,121,121,2026-05-26,,False,11,5,89.08,-188.78,-70.61
BTC,15:45,combined,100,191,712.34,620.41,91.93,0.4813,7.3662,0.623,21.8589,-34.851,0.6272,1.0366,0.2524,642.37,121,121,2026-05-26,,False,11,4,89.08,-188.78,-89.29
BTC,15:45,combined,150,191,353.03,618.63,-265.61,-1.3906,7.5871,0.6283,21.8703,-40.7048,0.5373,0.9081,-0.6318,892.39,156,156,2026-05-26,,False,11,4,89.08,-188.78,-123.29
BTC,15:45,leg_both,50,191,751.79,710.4,41.39,0.2167,-1.4326,0.4188,12.1275,-8.3676,1.4493,1.0446,0.265,368.2,133,133,2026-07-10,,False,7,10,89.08,-28.08,-23.58
BTC,15:45,leg_both,100,191,788.76,663.56,125.2,0.6555,-0.4329,0.4764,20.2146,-17.1433,1.1792,1.073,0.4615,529.57,128,128,2026-05-26,,False,6,10,89.08,-188.78,-59.49
BTC,15:45,leg_both,150,191,713.49,646.55,66.94,0.3505,2.5645,0.5445,20.3549,-23.5628,0.8639,1.0327,0.2236,532.84,121,121,2026-05-26,,False,10,5,89.08,-188.78,-68.26
BTC,15:45,leg_independent,50,191,793.32,687.96,105.36,0.5516,3.0869,0.5759,16.6829,-21.355,0.7812,1.0609,0.3565,638.75,128,128,2026-06-24,,False,10,7,89.08,-258.17,-69.43
BTC,15:45,leg_independent,100,191,813.14,655.65,157.49,0.8246,1.4074,0.534,20.3059,-21.5023,0.9444,1.0823,0.5213,587.87,128,128,2026-06-30,,False,8,8,89.08,-188.78,-78.65
BTC,15:45,leg_independent,150,191,605.42,645.05,-39.63,-0.2075,2.9882,0.555,20.4828,-26.0095,0.7875,0.9821,-0.1234,576.41,121,121,2026-07-10,,False,10,5,89.08,-188.78,-82.12
BTC,16:00,combined,50,191,626.42,583.27,43.15,0.2259,3.1261,0.555,23.2265,-28.4572,0.8162,1.0178,0.1277,806.16,116,116,2026-06-26,,False,8,9,83.12,-240.51,-66.62
BTC,16:00,combined,100,191,404.3,571.68,-167.38,-0.8763,6.507,0.5916,23.0979,-35.6082,0.6487,0.9397,-0.429,833.53,116,116,2026-06-26,,False,8,6,83.12,-240.51,-96.74
BTC,16:00,combined,150,191,355.41,569.15,-213.74,-1.1191,7.4037,0.5969,23.1135,-36.9959,0.6248,0.925,-0.5159,750.97,116,116,2026-05-16,,False,8,6,83.12,-240.51,-115.31
BTC,16:00,leg_both,50,191,101.82,655.15,-553.33,-2.897,-4.692,0.3455,13.3106,-11.4547,1.162,0.6136,-2.3549,765.39,130,130,2026-07-01,,False,6,25,83.12,-240.51,-47.36
BTC,16:00,leg_both,100,191,392.83,610.9,-218.08,-1.1418,-3.1704,0.445,20.554,-18.5393,1.1087,0.889,-0.7533,758.79,117,117,2026-06-30,,False,5,15,83.12,-240.51,-60.14
BTC,16:00,leg_both,150,191,697.82,590.89,106.92,0.5598,1.1578,0.5236,22.4174,-23.4595,0.9556,1.0501,0.3333,596.92,116,116,2026-06-30,,False,8,8,83.12,-240.51,-70.87
BTC,16:00,leg_independent,50,191,547.88,631.68,-83.79,-0.4387,1.1456,0.5183,16.2389,-18.3852,0.8833,0.9505,-0.3033,426.99,128,128,2026-06-26,,False,5,4,83.12,-240.51,-62.95
BTC,16:00,leg_independent,100,191,675.84,597.68,78.17,0.4092,0.3926,0.5026,20.1687,-19.5583,1.0312,1.0421,0.263,517.9,117,117,2026-06-30,,False,8,8,83.12,-240.51,-65.24
BTC,16:00,leg_independent,150,191,888.44,583.02,305.42,1.5991,3.8625,0.5654,21.3845,-24.1459,0.8856,1.1524,0.9634,510.6,116,116,2026-05-18,,False,8,8,83.12,-240.51,-69.68
BTC,16:15,combined,50,191,649.6,541.84,107.76,0.5642,2.895,0.5445,22.558,-25.7273,0.8768,1.0481,0.3299,518.41,119,119,2026-06-25,,False,7,7,72.31,-247.58,-69.37
BTC,16:15,combined,100,191,603.78,532.71,71.07,0.3721,6.1947,0.5812,22.1262,-29.8117,0.7422,1.0298,0.1983,534.54,119,119,2026-06-23,,False,7,5,72.31,-247.58,-89.73
BTC,16:15,combined,150,191,695.87,529.54,166.32,0.8708,7.3866,0.5916,21.976,-29.7046,0.7398,1.0718,0.4644,479.98,119,119,2026-06-23,,False,7,5,72.31,-247.58,-92.7
BTC,16:15,leg_both,50,191,457.81,600.21,-142.4,-0.7455,-3.0478,0.3717,13.3478,-9.0841,1.4694,0.8694,-0.9173,420.39,124,124,2026-06-29,,False,4,28,72.31,-29.91,-23.89
BTC,16:15,leg_both,100,191,503.51,569.74,-66.23,-0.3468,-1.5232,0.4607,18.8879,-16.7802,1.1256,0.9617,-0.2373,692.29,111,111,2026-06-29,,False,5,16,72.31,-247.58,-60.2
BTC,16:15,leg_both,150,191,615.37,551.96,63.41,0.332,0.3812,0.5026,22.0312,-21.5956,1.0202,1.0309,0.2019,689.53,119,119,2026-06-25,,False,7,7,72.31,-247.58,-69.24
