group_type,group,observations,mean_premium,median_premium,mean_premium_pct_spot,mean_smaller_leg_share,wins,win_probability,win_probability_ci95_low,win_probability_ci95_high,net_pnl,expectancy,median_pnl,avg_win,avg_loss,profit_factor,max_drawdown,stop_rate,mean_return_on_credit,pnl_2025,avg_pnl_2025,win_rate_2025,pnl_2026,avg_pnl_2026,win_rate_2026
all,all,556,172.84399999627212,158.987394494375,0.0019075175352032423,0.2481502014741975,391,0.7032374100719424,0.6639746853903142,0.7397109285404834,4360.267966078831,7.842208572084231,7.493918369848668,16.317100059279003,-12.240716103631865,3.158849714130957,122.96323187206372,0.10251798561151079,0.19690902667951873,3848.6925652879354,10.544363192569692,0.7452054794520548,511.5754007908947,2.678405239742904,0.6230366492146597
premium_50,lte_50,2,46.394529421200005,46.394529421200005,0.0006008351337000964,0.39119973787111906,2,1.0,0.34237195288961925,1.0,9.061019548365651,4.530509774182826,4.530509774182826,4.530509774182826,,,0.0,0,0.4919899940108672,0,,,9.061019548365651,4.530509774182826,1
premium_50,gt_50,554,173.30049627993665,159.36961700822502,0.0019122348001906183,0.24763377715507504,389,0.7021660649819494,0.6627986732694267,0.7387490062152156,4351.206946530465,7.8541641634123955,7.558513655574249,16.377699495192093,-12.240716103631865,3.154363434935755,122.96323187206372,0.10288808664259928,0.19584375242922508,3848.6925652879354,10.544363192569692,0.7452054794520548,502.51438124252905,2.658806249960471,0.6190476190476191
premium_fixed,0_50,2,46.394529421200005,46.394529421200005,0.0006008351337000964,0.39119973787111906,2,1.0,0.34237195288961925,1.0,9.061019548365651,4.530509774182826,4.530509774182826,4.530509774182826,,,0.0,0,0.4919899940108672,0,,,9.061019548365651,4.530509774182826,1
premium_fixed,50_75,22,64.66102985582046,66.5390666509,0.0008488816665205871,0.3225746501181827,15,0.6818181818181818,0.47318222782839336,0.8363961264530752,0.9040286383908551,0.04109221083594789,1.5684891145362239,4.686934334298892,-9.914283768013217,1.0130263518135543,45.949377665902645,0.22727272727272727,0.02952922693221994,13.221005812934836,4.407001937644945,1,-12.316977174543982,-0.6482619565549465,0.631578947368421
premium_fixed,75_100,58,87.39502902779138,88.25340248539999,0.0011235722233738819,0.2760840456103902,42,0.7241379310344828,0.5979510037164683,0.822477963192538,255.0013228440512,4.396574531793987,6.464996039274514,8.505295707980293,-6.388818555695066,3.4946056205565985,21.411091509431202,0.08620689655172414,0.25089309909039603,47.089635741999516,3.1393090494666347,0.8,207.9116871020517,4.835155514001203,0.6976744186046512
premium_fixed,100_150,167,124.60164553781917,123.24894752515002,0.0014600149454978071,0.2220349167270594,114,0.6826347305389222,0.6086108105272849,0.7484450821826873,655.6567851276214,3.926088533698331,6.116389923016022,10.703073415434952,-10.650822343999305,2.1614955482969633,100.92832672156106,0.1437125748502994,0.15490677703100003,452.88751105943135,5.523018427554039,0.7439024390243902,202.76927406819007,2.385520871390471,0.6235294117647059
premium_fixed,150_200,143,174.79782614458705,174.85008142475,0.0018258678659195907,0.1945992738335814,92,0.6433566433566433,0.5620381944153455,0.7171742358496475,609.2861042841015,4.2607419880007065,6.120530273651515,13.865294801668716,-13.065117989596487,1.9144032505504198,131.77233779281687,0.09090909090909091,0.12459607380540627,685.4964228883525,5.809291719392816,0.6949152542372882,-76.2103186042513,-3.0484127441700526,0.4
premium_fixed,gte_200,164,266.53936984849514,239.49699010715,0.002869596908303837,0.2998296850261455,126,0.7682926829268293,0.698025086959662,0.8262787804963203,2830.3587056363026,17.25828479046526,19.22511200894373,27.36223156957907,-16.244275582385793,5.585192085345978,79.96648424265328,0.06097560975609756,0.30249588894932183,2649.9979897852204,18.027197209423267,0.7755102040816326,180.36071585108255,10.609453873593091,0.7058823529411765
premium_quintile,Q1_-inf_109.81,112,86.75105037314464,88.751427770775,0.0010881626089060538,0.2762581093747797,82,0.7321428571428571,0.6434335581142351,0.8054552693881475,386.15501370116283,3.4478126223318104,5.836025745032276,7.740321651324812,-8.28504539024906,2.553622603587428,48.10397301476871,0.125,0.19633388783283373,95.99593336037195,2.999872917511624,0.78125,290.15908034079087,3.6269885042598853,0.7125
